dataset_id,agg_title_similarity,agg_description_similarity,avg_title_similarity,avg_description_similarity,num_keywords,title,description,keywords,outlier_type
http://data.europa.eu/88u/dataset/lp-minerals-area-of-preferred-extension-to-existing-salt-mine,0.8727269172668457,1.0,0.8727269172668457,1.0,1,LP Minerals Area of Preferred Extension to Existing Salt Mine,Area of Preferred Extension to Existing Salt Mine,Area of Preferred Extension to Existing Salt Mine,high
http://data.europa.eu/88u/dataset/ncc-maintained-community-centres,0.7371411323547363,0.9445075988769531,0.5993549227714539,0.7679605484008789,2,NCC maintained Community Centres,Community Centres owned and maintained by Nottingham City Council.,Community Centres; Nottingham City Council owned and maintained,high
http://data.europa.eu/88u/dataset/lp-minerals-area-of-search-for-sand-and-gravel,0.8227496147155762,1.0,0.8227496147155762,1.0,1,LP Minerals Area of Search for Sand and Gravel,Area of Search for Sand and Gravel,Area of Search for Sand and Gravel,high
http://data.europa.eu/88u/dataset/halton-town-centre-classifications,0.7373194694519043,0.8070490956306458,0.7373194694519043,0.8070490956306458,1,Halton Town Centre Classifications,Dataset showing Town Centre Classifications within the Councils administrative area. Areas recorded as polygons,Town Centre Classification,high
http://data.europa.eu/88u/dataset/niw-analysis-of-borrowings-balance-sheet-as-at-march-2019-2020,0.6970494389533997,0.808271050453186,0.373430997133255,0.4330158233642578,9,NIW ANALYSIS OF BORROWINGS BALANCE SHEET AS AT MARCH 2019 2020,NI Water Annual Information Return 2019 2020 Table 19a Analysis of Borrowings Due After More Than One Year (Historical Cost Accounting) Balance Sheet as at 31 March,AIR20; Analysis of Borrowings Due After More Than One Year; Annual Information Return 2019 2020; Balance Sheet as at 31 March; Historical Cost Accounting; NI Water; Northern Ireland Water; analysis of borrowings; table 19a,high
http://data.europa.eu/88u/dataset/bus-lanes4,0.8204394578933716,0.8512883186340332,0.6092253923416138,0.6321325302124023,3,Bus Lanes,bus lanes in the City of London.,City of London; bus; lanes,high
http://data.europa.eu/88u/dataset/bus-routes-in-cheshire-east,0.8185613751411438,0.8433890342712402,0.6700427532196045,0.6903656721115112,2,Bus routes in Cheshire East,Bus Routes - Cheshire East Local Bus Network,Bus routes in Cheshire East; Transport networks,high
http://data.europa.eu/88u/dataset/lp-minerals-existing-quarry,0.8526902198791504,1.0000001192092896,0.8526902198791504,1.0000001192092896,1,LP Minerals Existing Quarry,Minerals Existing Quarry,Minerals Existing Quarry,high
http://data.europa.eu/88u/dataset/lp-minerals-area-of-preferred-extension-for-sand-and-gravel-extraction,0.7200867533683777,0.8712693452835083,0.7200867533683777,0.8712693452835083,1,LP Minerals Area of Preferred Extension for Sand and Gravel Extraction,Area of Preferred Extension for Sand and Gravel Extraction,Area of Preferred Extension for Sand and Gravel Ex,high
http://data.europa.eu/88u/dataset/processional-route,1.0,0.8027781248092651,1.0,0.8027781248092651,1,Processional Route,The Processional Route in the City of London,Processional Route,high
http://data.europa.eu/88u/dataset/community-infrustructure-levy-cil-charging-zones1,0.5898106098175049,0.8053150177001953,0.4546350836753845,0.6207491755485535,2,Community Infrustructure Levy (CIL) Charging Zones,Community Infrustructure Levy (CIL) Charging Zones polygon layer. This policy area is relevant to City Plan 2036: Strategic Policy S27: Planning Contributions.The Community Infrastructure Levy (CIL) is a charge on new development that is used to help fund the provision of infrastructure in the City of London. The CIL operates through a charging schedule.,CIL; Community Infrastructure Levy,high
http://data.europa.eu/88u/dataset/key-areas-of-change,0.6486378908157349,0.8105638027191162,0.48359450697898865,0.6043189764022827,3,Key Areas of Change,Key Areas of Change in the City Plan 2040,Key Area of Change; Planning; Policy: City Plan 2040,high
http://data.europa.eu/88u/dataset/lp-minerals-area-of-preferred-extension-to-controlled-brine-field,0.7220613956451416,0.8627261519432068,0.7220613956451416,0.8627261519432068,1,LP Minerals Area of Preferred Extension to Controlled Brine field,Area of Preferred Extension to Controlled Brine field,Area of Preferred Extension to Controlled Brine fi,high
http://data.europa.eu/88u/dataset/council-cctv-cameras1,0.2431311011314392,0.02061198651790619,0.2044065147638321,0.01732901856303215,2,Council CCTV cameras," CCTV Camera point locations. Attributes include reference numbers and information on camera make, monitoring, ownership and maintainence responsibilities.  Includes Metrobus cctv.",Emergencies; Security,low
