dataset_id,agg_title_similarity,agg_description_similarity,avg_title_similarity,avg_description_similarity,num_keywords,title,description,keywords,outlier_type
http://data.europa.eu/88u/dataset/land-cover-map-2007-25m-raster-ni,0.6640095114707947,0.4815797507762909,0.6640095114707947,0.4815797507762909,1,"Land Cover Map 2007 (25m raster, NI)","LCM2007 is a parcel-based thematic classification of satellite image data covering the entire United Kingdom. The map updates and upgrades the Land Cover Map of Great Britain (LCMGB) 1990 and LCM2000. Like the earlier 1990 and 2000 products, LCM2007 is derived from a computer classification of satellite scenes obtained mainly from Landsat, IRS and SPOT sensors. It also covers Northern Ireland and incorporates information derived from other ancillary datasets. LCM2007 was classified using a hierarchical nomenclature corresponding to the Joint Nature Conservation Committee (JNCC) Broad Habitats, which encompasses the entire range of UK habitats. In addition, it recorded further detail where possible, incorporating land cover classes sought by other users. LCM2007 is produced in both vector and raster formats, with a number of different versions containing varying levels of detail and at different spatial resolutions. This dataset consists of the 25m raster version, Northern Ireland only. Full details about this dataset can be found at https://doi.org/10.5285/08b78c4b-cd3f-4eeb-a9eb-9c3e88812f16",Land Cover,high
http://data.europa.eu/88u/dataset/conservation-areas82,0.8658241629600525,0.560455322265625,0.7496514320373535,0.4852556884288788,2,Conservation Areas,Dataset showing Conservation Areas and Article 4 Directions located within Dudley Metropolitan Borough.,Area management/restriction/regulation zones and r; Conservation Areas,high
http://data.europa.eu/88u/dataset/economic-activity-plymouth,0.6537357568740845,0.35111522674560547,0.6537357568740845,0.35111522674560547,1,Economic Activity/Status,Data showing the economic activity/status of residents in Plymouth.,Economy,high
http://data.europa.eu/88u/dataset/2021-census-ready-made-table-rm079,0.8223251104354858,0.3587680160999298,0.6250982284545898,0.2727208733558655,2,2021 Census Ready Made Table RM079,"Method used to travel to work by occupation
Table Population: All usual residents aged 16+ in employment the week before the census",2021 census; ready made table,high
http://data.europa.eu/88u/dataset/playgrounds1,0.9371089339256287,0.3469182252883911,0.7855303883552551,0.29080379009246826,4,Belfast City Council Playgrounds,"This data set contains information about our playgrounds, data items include; name, address, longitude, latitude",Belfast; Belfast City Council Playgrounds; Childrens Playgrounds Belfast; playgrounds,high
http://data.europa.eu/88u/dataset/brownfield-register45,0.8220174312591553,0.5782355070114136,0.6096815466880798,0.42887112498283386,3,Brownfield Register,<p>Register of previously developed (brownfield) land within Leicester City.</p>,Brownfield register; Brownfield site; Planning,high
http://data.europa.eu/88u/dataset/2021-census-ready-made-table-rm198,0.8006266951560974,0.4003971815109253,0.6086038947105408,0.30436572432518005,2,2021 Census Ready Made Table RM198,"RM198 - Number of multi-generational households by bedroom occupancy rating
Table Population: All households",2021 census; ready made table,high
http://data.europa.eu/88u/dataset/2021-census-ready-made-table-rm148,0.8003121614456177,0.41453471779823303,0.6083648204803467,0.31511250138282776,2,2021 Census Ready Made Table RM148,"Year last worked by age
Table Population: All usual residents aged 16+ not in employment the week before the census",2021 census; ready made table,high
http://data.europa.eu/88u/dataset/2021-census-ready-made-table-rm062,0.8046392202377319,0.44939664006233215,0.6116541624069214,0.34161311388015747,2,2021 Census Ready Made Table RM062,"Industry by age
Table Population: All usual residents aged 16+ in employment the week before the census",2021 census; ready made table,high
http://data.europa.eu/88u/dataset/lp-minerals-area-of-preferred-extension-to-existing-salt-mine,0.8727269172668457,1.0,0.8727269172668457,1.0,1,LP Minerals Area of Preferred Extension to Existing Salt Mine,Area of Preferred Extension to Existing Salt Mine,Area of Preferred Extension to Existing Salt Mine,high
http://data.europa.eu/88u/dataset/conservation-areas48,0.8093445301055908,0.5877019762992859,0.655038595199585,0.47565338015556335,2,Conservation Areas,Defined Conservations in Carlisle City Council the limit of each Conservation Area is recorded as a polygon. Upon accessing this Licensed Data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE,Conservation Areas; Protected sites,high
